Timespan,Title,Refrence_number,Description,Price,Image,Url,Color,Age,Gender,Last,Origin,Components,Properties,Outsole,Upper,Midsole,Drop,Previous,Technology,Other,Standards,Closure,Status
2024-05-02 14:12:51,New Balance Unisex Made in USA 990v6 Black,U990BB6,"Unisex Lifestyle Running Shoes
MADE/Responsive Cushioning/Stability
Colors: Black",$199.95,https://www.aperfectdealer.com/11443-home_default/new-balance-unisex-made-in-usa-990v6-black-u990bb6.jpg,https://www.aperfectdealer.com/men-new-balance-classic-shoes/2747-new-balance-unisex-made-in-usa-990v6-black-u990bb6.html,Black,Adult,Unisex,SL-1,USA,All-day comfort with Ortholite cushioning insert,Reflective accents designed to catch the light,Ndurance° rubber compound for maximum outsole durability,Pig Suede/Mesh,ENCAP midsole cushioning combines lightweight foam with a durable polyurethane rim to deliver all-day support,"12 mm drop - due to variances created during the development and manufacturing processes, all references to 12 mm drop are approximate",Style# M990BB5,FuelCell foam delivers a propulsive feel to help drive you forward,TPU back tab,New Balance MADE contains a domestic value of 70% or more. MADE makes up a limited portion of New Balance's US sales,Lace-up closure for a secure fit,In Line
2024-05-02 14:13:21,New Balance Made in USA M990v6 Navy,M990NV6,"Men's Lifestyle Running Shoes
MADE/Responsive Cushioning/Stability
Colors: Navy/White",$199.95,https://www.aperfectdealer.com/11109-home_default/new-balance-made-in-usa-m990v6-navy.jpg,https://www.aperfectdealer.com/men-new-balance-classic-shoes/2696-new-balance-made-in-usa-m990v6-navy.html,Navy/White,Adult,Male,SL-1,USA,All-day comfort with Ortholite cushioning insert,Reflective accents designed to catch the light,Ndurance rubber compound for maximum outsole durability,Pigskin/Mesh,ENCAP midsole cushioning combines lightweight foam with a durable polyurethane rim to deliver all-day support,"12 mm drop - due to variances created during the development and manufacturing processes, all references to 12 mm drop are approximate",Style# M990NV5,ENCAP PU ring with EVA core,FuelCell foam delivers a propulsive feel to help drive you forward,TPU back tab,New Balance MADE contains a domestic value of 70% or more. MADE makes up a limited portion of New Balance's US sales,Adjustable lace closure for a customized fit
2024-05-02 14:13:45,New Balance Made in USA M990v6 Black,M990BK6,"Men's Lifestyle Running Shoes
MADE/Responsive Cushioning/Stability
Colors: Black/White",$199.95,https://www.aperfectdealer.com/10946-home_default/new-balance-made-in-usa-990v6-black-m990bk6.jpg,https://www.aperfectdealer.com/men-new-balance-classic-shoes/2666-new-balance-made-in-usa-990v6-black-m990bk6.html,Black/White,Adult,Male,SL-1,USA,All-day comfort with Ortholite cushioning insert,Reflective accents designed to catch the light,Ndurance© rubber compound for maximum outsole durability,Pigskin/ Mesh,ENCAP midsole cushioning combines lightweight foam with a durable polyurethane rim to deliver all-day support,"Flowing, heel to toe overlay design","12 mm drop - due to variances created during the development and manufacturing processes, all references to 12 mm drop are approximate",Style# M990v5,ENCAP PU ring with EVA core,FuelCell foam delivers a propulsive feel to help drive you forward,TPU back tab,New Balance MADE contains a domestic value of 70% or more. MADE makes up a limited portion of New Balance's US sales
2024-05-02 14:22:33,New Balance Unisex Made in USA 990v6 Tan,U990TN6,"Unisex Lifestyle Running Shoes
MADE/Responsive Cushioning/Stability
Colors: Workwear/Grey",$199.95,https://www.aperfectdealer.com/11449-home_default/new-balance-unisex-made-in-usa-990v6-tan-u990tn6.jpg,https://www.aperfectdealer.com/men-new-balance-classic-shoes/2748-new-balance-unisex-made-in-usa-990v6-tan-u990tn6.html,Workwear/Grey,Adult,Unisex,SL-1,USA,All-day comfort with Ortholite cushioning insert,Reflective accents designed to catch the light,Ndurance° rubber compound for maximum outsole durability,Pig Suede/Mesh,ENCAP midsole cushioning combines lightweight foam with a durable polyurethane rim to deliver all-day support,"12 mm drop - due to variances created during the development and manufacturing processes, all references to 12 mm drop are approximate",Style# M990v5,FuelCell foam delivers a propulsive feel to help drive you forward,TPU back tab,New Balance MADE contains a domestic value of 70% or more. MADE makes up a limited portion of New Balance's US sales,Lace-up closure for a secure fit,Limited
2024-05-02 14:22:50,New Balance Unisex Made in USA 990v6 Black,U990BB6,"Unisex Lifestyle Running Shoes
MADE/Responsive Cushioning/Stability
Colors: Black",$199.95,https://www.aperfectdealer.com/11443-home_default/new-balance-unisex-made-in-usa-990v6-black-u990bb6.jpg,https://www.aperfectdealer.com/men-new-balance-classic-shoes/2747-new-balance-unisex-made-in-usa-990v6-black-u990bb6.html,Black,Adult,Unisex,SL-1,USA,All-day comfort with Ortholite cushioning insert,Reflective accents designed to catch the light,Ndurance° rubber compound for maximum outsole durability,Pig Suede/Mesh,ENCAP midsole cushioning combines lightweight foam with a durable polyurethane rim to deliver all-day support,"12 mm drop - due to variances created during the development and manufacturing processes, all references to 12 mm drop are approximate",Style# M990BB5,FuelCell foam delivers a propulsive feel to help drive you forward,TPU back tab,New Balance MADE contains a domestic value of 70% or more. MADE makes up a limited portion of New Balance's US sales,Lace-up closure for a secure fit,In Line
2024-05-02 14:23:20,New Balance Made in USA M990v6 Navy,M990NV6,"Men's Lifestyle Running Shoes
MADE/Responsive Cushioning/Stability
Colors: Navy/White",$199.95,https://www.aperfectdealer.com/11109-home_default/new-balance-made-in-usa-m990v6-navy.jpg,https://www.aperfectdealer.com/men-new-balance-classic-shoes/2696-new-balance-made-in-usa-m990v6-navy.html,Navy/White,Adult,Male,SL-1,USA,All-day comfort with Ortholite cushioning insert,Reflective accents designed to catch the light,Ndurance rubber compound for maximum outsole durability,Pigskin/Mesh,ENCAP midsole cushioning combines lightweight foam with a durable polyurethane rim to deliver all-day support,"12 mm drop - due to variances created during the development and manufacturing processes, all references to 12 mm drop are approximate",Style# M990NV5,ENCAP PU ring with EVA core,FuelCell foam delivers a propulsive feel to help drive you forward,TPU back tab,New Balance MADE contains a domestic value of 70% or more. MADE makes up a limited portion of New Balance's US sales,Adjustable lace closure for a customized fit
2024-05-02 14:23:43,New Balance Made in USA M990v6 Black,M990BK6,"Men's Lifestyle Running Shoes
MADE/Responsive Cushioning/Stability
Colors: Black/White",$199.95,https://www.aperfectdealer.com/10946-home_default/new-balance-made-in-usa-990v6-black-m990bk6.jpg,https://www.aperfectdealer.com/men-new-balance-classic-shoes/2666-new-balance-made-in-usa-990v6-black-m990bk6.html,Male,SL-1,USA,All-day comfort with Ortholite cushioning insert,Reflective accents designed to catch the light,Ndurance© rubber compound for maximum outsole durability,Pigskin/ Mesh,ENCAP midsole cushioning combines lightweight foam with a durable polyurethane rim to deliver all-day support,"Flowing, heel to toe overlay design","12 mm drop - due to variances created during the development and manufacturing processes, all references to 12 mm drop are approximate",Style# M990v5,ENCAP PU ring with EVA core,FuelCell foam delivers a propulsive feel to help drive you forward,TPU back tab,New Balance MADE contains a domestic value of 70% or more. MADE makes up a limited portion of New Balance's US sales,Lace-up,In Line
2024-05-02 14:24:13,New Balance Made in USA M990v6 Grey,M990GL6,"Men's Lifestyle Running Shoes
MADE/Responsive Cushioning/Stability
Colors: Grey",$199.95,https://www.aperfectdealer.com/10952-home_default/new-balance-made-in-usa-990v6-grey-m990gl6.jpg,https://www.aperfectdealer.com/men-new-balance-classic-shoes/2667-new-balance-made-in-usa-990v6-grey-m990gl6.html,Grey,Adult,Male,SL-1,USA,All-day comfort with Ortholite cushioning insert,Reflective accents designed to catch the light,Ndurance© rubber compound for maximum outsole durability,Pigskin/ Mesh,ENCAP midsole cushioning combines lightweight foam with a durable polyurethane rim to deliver all-day support,"Flowing, heel to toe overlay design","12 mm drop - due to variances created during the development and manufacturing processes, all references to 12 mm drop are approximate",Style# M990v5,ENCAP PU ring with EVA core,FuelCell foam delivers a propulsive feel to help drive you forward,TPU back tab,New Balance MADE contains a domestic value of 70% or more. MADE makes up a limited portion of New Balance's US sales
2024-05-02 14:24:44,Dunham 8000 Works Waterproof 8 Inch Plain Toe Wheat,CI2325,"Men's Safety & Work
Insulated/Waterproof/Slip Resistant/Stability
Colors: Wheat",$189.95,https://www.aperfectdealer.com/9777-home_default/dunham-8000-works-waterproof-8-inch-plain-toe-wheat-ci2325.jpg,https://www.aperfectdealer.com/men-industrial-and-work-shoes/2474-dunham-8000-works-waterproof-8-inch-plain-toe-wheat-ci2325.html,Wheat,Adult,Male,Padded collar and tongue reduce irritation while adding extra cushioning,Nylon shank offers stability and flexibility,"Slip-resistant, oil-resistant rubber outsole helps to keep you steady",Leather,"Removable footbed offers advanced comfort and cushioning, and accommodates your own orthotics as needed.",Thinsulate® 400g provides added warmth and comfort,Seam-sealed waterproof construction and waterproof membrane help to keep your feet dry,RBar offers maximum stability,ESR-TESTER ANSI-Z41 PT99 helps to prevent electric shock hazards,"ASTM F2913-19 and SATRA TM144 in Dry, Wet, Oil, Oil/Wet Conditions for slip-resistance",Lace-up closure for a secure fit,,,
2024-05-02 14:25:05,New Balance Made in US M990v5 Carbon,M990NL5,"Men's Running Shoes
Made in USA/Cushioning/Stability
Colors: Carbon/Team Red/White",$189.95,https://www.aperfectdealer.com/9200-home_default/new-balance-made-in-us-m990v5-carbon-m990nl5.jpg,https://www.aperfectdealer.com/men-new-balance-running-shoes/2346-new-balance-made-in-us-m990v5-carbon-m990nl5.html,Carbon/Team Red/White,Adult,Male,SL-1,USA,All-day comfort with new Ortholite cushioning insert,Leather upper provides a snug fit for optimal comfort,Blown rubber outsole,Leather/Mesh,ENCAP midsole cushioning combines lightweight foam with a durable polyurethane rim to deliver all-day support,"12 mm drop: due to variances created during the development and manufacturing processes, all references to 12 mm drop are approximate",Style# M990v4,Dual density collar foam offers support and comfort for ankles,ENCAP is a core of soft cushioning EVA in the midsole with a tough polyurethane rim for more support and durability,Manufactured in the US for over 75 years and representing a limited portion of our US sales. New Balance Made is a premium collection that contains a domestic value of 70% or greater,,
