Timespan,Title,SKU,Price,Image,Url,description
2024-05-31 23:02:23,New Balance Men's Fresh Foam X 880v14 - Black / Black Metallic / Black,M880K14,$139.99,https://cdn11.bigcommerce.com/s-kk5b4m/images/stencil/500x500/products/60341/78068/A__58146.1715964983.jpg?c=2,https://shoestores.com/new-balance-mens-fresh-foam-x-880v14-black-black-metallic-black/,Fresh Foam X midsole foam with approximately 3% bio-based content delivers the most cushioned Fresh Foam experience for incredible comfort Neutral cushioning – for runners who do not require additional stability Weight  9.5oz | 270 grams Style #  M880K14 Facebook Email Print Twitter Pinterest
2024-05-31 23:02:35,Brooks Men's Ghost 16 - Blue Opal / Black / Nasturtium,110418-474,$139.95,https://cdn11.bigcommerce.com/s-kk5b4m/images/stencil/500x500/products/60302/77253/110418_474_L_Ghost_16__00651.1712696067.jpg?c=2,https://shoestores.com/brooks-mens-ghost-16-blue-opal-black-nasturtium/,Sustainability  67.3% Recycled materials in the upper | 4.3 Plastic bottles diverted from landfills Certified Carbon Neutral product Best for  Road running & walking Soft cushioning Enhanced upper Soft cushioning Smooth transitions Enhanced upper Midsole drop  12mm Weight  9.5oz / 269.3g Experience  Cushion Cushion level  More cushioning Support level  Neutral Style #  110418-474 Facebook Email Print Twitter Pinterest
2024-05-31 23:02:48,Brooks Men's Ghost 16 - Palace Blue / Provence,110418-456,$139.95,https://cdn11.bigcommerce.com/s-kk5b4m/images/stencil/500x500/products/60301/77875/A__18826.1714501500.jpg?c=2,https://shoestores.com/brooks-mens-ghost-16-palace-blue-provence/,Sustainability  67.3% Recycled materials in the upper | 4.3 Plastic bottles diverted from landfills Certified Carbon Neutral product Best for  Road running & walking Soft cushioning Enhanced upper Soft cushioning Smooth transitions Enhanced upper Midsole drop  12mm Weight  9.5oz / 269.3g Experience  Cushion Cushion level  More cushioning Support level  Neutral Style #  110418-456 Facebook Email Print Twitter Pinterest
2024-05-31 23:03:02,Brooks Men's Ghost 16 - Black / Grey / White,110418-090,$139.95,https://cdn11.bigcommerce.com/s-kk5b4m/images/stencil/500x500/products/60300/77872/A__70461.1714501271.jpg?c=2,https://shoestores.com/brooks-mens-ghost-16-black-grey-white/,Sustainability  67.3% Recycled materials in the upper | 4.3 Plastic bottles diverted from landfills Certified Carbon Neutral product Best for  Road running & walking Soft cushioning Enhanced upper Soft cushioning Smooth transitions Enhanced upper Midsole drop  12mm Weight  9.5oz / 269.3g Experience  Cushion Cushion level  More cushioning Support level  Neutral Style #  110418-090 Facebook Email Print Twitter Pinterest
2024-05-31 23:03:16,Brooks Men's Ghost 16 - Black / Forged Iron / Blue,110418-029,$139.95,https://cdn11.bigcommerce.com/s-kk5b4m/images/stencil/500x500/products/60299/77871/A__15640.1714501214.jpg?c=2,https://shoestores.com/brooks-mens-ghost-16-black-forged-iron-blue/,Sustainability  67.3% Recycled materials in the upper | 4.3 Plastic bottles diverted from landfills Certified Carbon Neutral product Best for  Road running & walking Soft cushioning Enhanced upper Soft cushioning Smooth transitions Enhanced upper Midsole drop  12mm Weight  9.5oz / 269.3g Experience  Cushion Cushion level  More cushioning Support level  Neutral Style #  110418-029 Facebook Email Print Twitter Pinterest
2024-05-31 23:03:28,Brooks Men's Ghost 16 - Coconut / Chateau / Forged Iron,110418-164,$139.95,https://cdn11.bigcommerce.com/s-kk5b4m/images/stencil/500x500/products/56097/77874/A__83166.1714501413.jpg?c=2,https://shoestores.com/brooks-mens-ghost-16-coconut-chateau-forged-iron/,Sustainability  67.3% Recycled materials in the upper | 4.3 Plastic bottles diverted from landfills Certified Carbon Neutral product Best for  Road running & walking Soft cushioning Enhanced upper Soft cushioning Smooth transitions Enhanced upper Midsole drop  12mm Weight  9.5oz / 269.3g Experience  Cushion Cushion level  More cushioning Support level  Neutral Style #  110418-164 Facebook Email Print Twitter Pinterest
2024-05-31 23:03:41,Brooks Men's Ghost 16 - Primer / Grey / Lime,110418-040,$139.95,https://cdn11.bigcommerce.com/s-kk5b4m/images/stencil/500x500/products/56096/77868/A__25087.1714501013.jpg?c=2,https://shoestores.com/brooks-mens-ghost-16-primer-grey-lime/,Sustainability  67.3% Recycled materials in the upper | 4.3 Plastic bottles diverted from landfills Certified Carbon Neutral product Best for  Road running & walking Soft cushioning Enhanced upper Soft cushioning Smooth transitions Enhanced upper Midsole drop  12mm Weight  9.5oz / 269.3g Experience  Cushion Cushion level  More cushioning Support level  Neutral Style #  110418-040 Facebook Email Print Twitter Pinterest
2024-05-31 23:03:53,Brooks Men's Ghost 16 - Black / Black / Ebony,110418-020,$139.95,https://cdn11.bigcommerce.com/s-kk5b4m/images/stencil/500x500/products/56095/77869/A__70885.1714501074.jpg?c=2,https://shoestores.com/brooks-mens-ghost-16-black-black-ebony/,Sustainability  67.3% Recycled materials in the upper | 4.3 Plastic bottles diverted from landfills Certified Carbon Neutral product Best for  Road running & walking Soft cushioning Enhanced upper Soft cushioning Smooth transitions Enhanced upper Midsole drop  12mm Weight  9.5oz / 269.3g Experience  Cushion Cushion level  More cushioning Support level  Neutral Style #  110418-020 Facebook Email Print Twitter Pinterest
2024-05-31 23:04:05,New Balance Men's Fresh Foam X 1080v13 - Moonrock / Bleached Lime Glo / Sea Salt,M1080LUM,$164.99,https://cdn11.bigcommerce.com/s-kk5b4m/images/stencil/500x500/products/60411/77898/A__51987.1714584776.jpg?c=2,https://shoestores.com/new-balance-mens-fresh-foam-x-1080v13-moonrock-bleached-lime-glo-sea-salt/,"Fresh Foam X midsole foam with approximately 3% bio-based content delivers our most cushioned Fresh Foam experience for incredible comfort. Bio-based content is made from renewable resources to help reduce carbon footprint. Breathable engineered mesh upper features a snug, second skin fit for a structured, supportive feel NDurance rubber outsole is built for increased durability in high wear areas Reflective accents 6mm drop; all references to 6 mm drop are approximate Weight  9.2oz | 262 grams Style #  M1080LUM Facebook Email Print Twitter Pinterest"
2024-05-31 23:04:18,Kizik Porto - Taupe,DNEWTP01,$99.00,https://cdn11.bigcommerce.com/s-kk5b4m/images/stencil/500x500/products/60319/77855/unnamed_1__60873.1714494381.JPG?c=2,https://shoestores.com/kizik-porto-taupe/,HandsFree Labs technology  Internal Cage Arch Form insole Rubber outsole Sturdy burlap upper Style #  DNEWTP01 Facebook Email Print Twitter Pinterest
